TEST#	TYPE	SIZE	CREATE	FIND-MIN	IN-ORDER
1	AVL	1640	317917	487	39740	90207
1	AVL	1650	433724	731	61438	132872
1	AVL	1660	296707	732	47542	102153
1	AVL	1670	290368	487	40959	92888
1	AVL	1680	294026	732	41203	93864
1	AVL	1690	304021	731	41446	100446
1	AVL	1700	314261	732	41690	93376
1	AVL	1710	314505	731	41202	97033
1	AVL	1720	484191	731	88013	188947
1	AVL	1730	337909	487	42909	103616
1	AVL	1740	319137	732	41447	98984
1	AVL	1750	322062	488	42177	96789
1	AVL	1760	323769	488	47785	98008
1	AVL	1770	328889	732	41934	98253
1	AVL	1780	331083	487	43397	115075
1	AVL	1790	329133	488	42665	101666
1	AVL	1800	328889	732	47542	100691
1	AVL	1810	317674	487	43641	101422
1	AVL	1820	318162	732	43397	101665
1	AVL	1830	321818	487	45103	104104
1	AVL	1840	323525	488	44372	102397
1	AVL	1850	341810	731	45103	105566
1	AVL	1860	336203	487	45103	103616
1	AVL	1870	383257	488	46079	115318
1	AVL	1880	326207	487	45591	105078
1	AVL	1890	392521	487	46322	105566
1	AVL	1900	357170	488	45835	106297
1	AVL	1910	347662	487	45834	106542
1	AVL	1920	336691	732	46567	109955
1	AVL	1930	353269	487	46566	113368
1	AVL	1940	352294	732	46566	108492
1	AVL	1950	335472	488	46810	108735
1	AVL	1960	353513	487	46810	110930
1	AVL	1970	357413	487	47054	110442
1	AVL	1980	346443	487	46810	110198
1	AVL	1990	361071	488	47542	117268
1	AVL	2000	362046	487	47785	112392
1	AVL	2010	362046	488	48028	112393
1	AVL	2020	374724	732	49004	127996
1	AVL	2030	365947	488	48029	114343
1	AVL	2040	412025	487	48760	118244
1	AVL	2050	369848	488	48516	115319
1	AVL	2060	373749	488	51930	115562
1	AVL	2070	432992	732	49980	144087
1	AVL	2080	374967	488	49979	116294
1	AVL	2090	378624	487	50467	128971
1	AVL	2100	366191	488	50467	134335
1	AVL	2110	380331	732	51443	126290
1	AVL	2120	392277	731	51198	119951
1	AVL	2130	449815	488	51929	129946
1	AVL	2140	399591	488	52418	140917
1	AVL	2150	394959	731	52417	131166
1	AVL	2160	405443	487	54124	129459
1	AVL	2170	458104	731	53392	129458
1	AVL	2180	432993	488	53880	139942
1	AVL	2190	373260	487	53149	127508
1	AVL	2200	435186	487	54124	150669
1	AVL	2210	409100	732	55587	132629
1	AVL	2220	396910	731	53636	138236
1	AVL	2230	400567	488	53637	130190
1	AVL	2240	409343	487	54124	128728
1	AVL	2250	404712	732	54124	130678
1	AVL	2260	401054	488	54124	129703
1	AVL	2270	412513	732	57781	139698
1	AVL	2280	463224	488	54856	128240
1	AVL	2290	410807	488	54612	134579
1	AVL	2300	409344	732	55587	131897
1	AVL	2310	419583	732	59732	147256
1	AVL	2320	412025	487	55343	133848
1	AVL	2330	415439	488	58513	133847
1	AVL	2340	415682	731	96058	135066
1	AVL	2350	417145	487	56074	134579
1	AVL	2360	421046	975	57294	144331
1	AVL	2370	426897	732	57294	153108
1	AVL	2380	425434	731	57293	138236
1	AVL	2390	440794	731	58269	154570
1	AVL	2400	538802	731	67533	143600
1	AVL	2410	433968	488	57781	135797
1	AVL	2420	473220	731	57781	149207
1	AVL	2430	431530	732	58269	138967
1	AVL	2440	438599	731	59244	147012
1	AVL	2450	445182	487	59000	154571
1	AVL	2460	436894	488	59244	139942
1	AVL	2470	442257	488	58757	142381
1	AVL	2480	454203	731	59731	139698
1	AVL	2490	444695	487	59731	147257
1	AVL	2500	500282	731	59487	147500
1	AVL	2510	453716	488	60219	147500
1	AVL	2520	452496	731	60707	153351
1	AVL	2530	448596	488	60463	141649
1	AVL	2540	448596	488	63632	142868
1	AVL	2550	503208	731	64364	192115
1	AVL	2560	453716	488	61438	148720
1	AVL	2570	503938	975	92157	143356
1	AVL	2580	544166	731	70702	253554
1	AVL	2590	565133	488	61926	152133
1	AVL	2600	511253	731	62901	158471
1	AVL	2610	461273	731	61926	146037
1	AVL	2620	479558	487	63388	145550
1	AVL	2630	465662	488	62657	149451
1	AVL	2640	482241	488	64120	159690
1	AVL	2650	520518	488	65827	187240
1	AVL	2660	482484	731	65583	236488
1	AVL	2670	472488	487	64851	157984
1	AVL	2680	478827	488	65095	153352
1	AVL	2690	511253	731	66070	157252
1	AVL	2700	573666	731	95326	220397
1	AVL	2710	475414	488	65827	152377
1	AVL	2720	482485	731	66070	155058
1	AVL	2730	481509	488	66314	154814
1	AVL	2740	501257	731	68752	154814
1	AVL	2750	501989	732	66558	157008
1	AVL	2760	485166	488	66315	160178
1	AVL	2770	537584	732	104591	425435
1	AVL	2780	505402	488	66801	159691
1	AVL	2790	513447	732	67534	155301
1	AVL	2800	499550	731	67777	171149
1	AVL	2810	494187	488	67290	161397
1	AVL	2820	570497	488	68508	175781
1	AVL	2830	511009	732	67776	159934
1	AVL	2840	530757	732	68265	164566
1	AVL	2850	520761	732	68996	162128
1	AVL	2860	503451	487	68996	163348
1	AVL	2870	502232	731	68996	165054
1	AVL	2880	503208	732	68996	161884
1	AVL	2890	507108	487	69727	161153
1	AVL	2900	509547	732	70459	167736
1	AVL	2910	509546	488	69972	163347
1	AVL	2920	525394	488	70215	174563
1	AVL	2930	518079	731	70459	166761
1	AVL	2940	513934	487	74360	165054
1	AVL	2950	518323	732	70947	165054
1	AVL	2960	530269	488	71678	189678
1	AVL	2970	520029	487	71434	165297
1	AVL	2980	533439	488	71921	166029
1	AVL	2990	538071	488	70946	168955
1	AVL	3000	545629	487	72653	169930
2	AVL	10	2682	487	731	975
2	AVL	20	4145	488	976	1706
2	AVL	30	5607	244	1219	2194
2	AVL	40	7314	487	1463	2681
2	AVL	50	9021	487	1706	3170
2	AVL	60	10484	487	1950	3414
2	AVL	70	12191	488	2194	4388
2	AVL	80	13897	488	2438	4632
2	AVL	90	15359	487	2438	5120
2	AVL	100	17797	487	2926	5851
2	AVL	110	18772	488	3170	6339
2	AVL	120	19991	487	3169	6826
2	AVL	130	21943	488	3413	7558
2	AVL	140	39983	487	4145	8046
2	AVL	150	25355	731	3901	11946
2	AVL	160	26819	488	4145	9021
2	AVL	170	28768	488	4388	9509
2	AVL	180	33644	487	4632	9752
2	AVL	190	31938	488	5120	10239
2	AVL	200	37302	488	5120	10971
2	AVL	210	39496	732	5364	11459
2	AVL	220	37302	488	5608	11947
2	AVL	230	38277	488	6095	12434
2	AVL	240	39984	488	6339	13165
2	AVL	250	42421	488	6339	14140
2	AVL	260	43396	487	7070	14384
2	AVL	270	44860	732	7070	14872
2	AVL	280	64364	488	7801	16091
2	AVL	290	48273	487	7558	16579
2	AVL	300	66314	487	7558	16578
2	AVL	310	51442	488	7802	16822
2	AVL	320	70459	732	8046	17554
2	AVL	330	54855	488	8533	18773
2	AVL	340	55831	488	8533	18285
2	AVL	350	126777	732	16334	30232
2	AVL	360	59731	732	9265	19991
2	AVL	370	80699	488	9508	19992
2	AVL	380	63633	488	9752	20236
2	AVL	390	64852	488	9996	20967
2	AVL	400	82161	488	13166	21699
2	AVL	410	67533	488	10484	21943
2	AVL	420	68996	487	10483	22430
2	AVL	430	71678	487	10727	22918
2	AVL	440	109468	488	14141	23649
2	AVL	450	75091	488	11702	24624
2	AVL	460	77041	731	11702	24867
2	AVL	470	78504	487	12190	25843
2	AVL	480	97521	488	12190	26087
2	AVL	490	101178	487	50711	26331
2	AVL	500	98740	487	12434	26818
2	AVL	510	84112	487	12678	27062
2	AVL	520	97033	488	12921	28037
2	AVL	530	87525	488	13409	29012
2	AVL	540	88500	487	13653	29500
2	AVL	550	91669	487	13897	31207
2	AVL	560	92157	487	13896	30963
2	AVL	570	97277	488	14141	31207
2	AVL	580	95571	488	14140	31938
2	AVL	590	103616	487	14384	32426
2	AVL	600	101422	488	14628	35107
2	AVL	610	99715	488	14872	32914
2	AVL	620	102153	487	15116	33400
2	AVL	630	103860	488	15360	37302
2	AVL	640	105079	488	18529	34133
2	AVL	650	106298	487	15847	34863
2	AVL	660	126533	731	16334	35595
2	AVL	670	126289	487	25843	35839
2	AVL	680	127509	488	16823	49492
2	AVL	690	129703	488	16822	37058
2	AVL	700	114343	488	17066	37058
2	AVL	710	119463	488	17309	37546
2	AVL	720	136285	487	17553	38520
2	AVL	730	135310	731	17797	38765
2	AVL	740	120926	731	18041	39496
2	AVL	750	126534	488	18529	39740
2	AVL	760	163347	488	18772	42665
2	AVL	770	252579	487	19260	42421
2	AVL	780	128239	731	19017	41691
2	AVL	790	145550	487	22430	42178
2	AVL	800	151158	488	19992	47542
2	AVL	810	153108	488	19992	43885
2	AVL	820	154326	487	19748	44372
2	AVL	830	135798	488	19992	44372
2	AVL	840	157009	488	20724	45103
2	AVL	850	138480	732	20723	45591
2	AVL	860	157740	731	20723	45591
2	AVL	870	164079	731	21454	46566
2	AVL	880	159690	731	21455	82893
2	AVL	890	166273	488	21942	47298
2	AVL	900	165297	731	21942	48516
2	AVL	910	147988	487	22186	49004
2	AVL	920	169930	488	22430	50224
2	AVL	930	167980	488	22674	50711
2	AVL	940	169930	731	22917	53636
2	AVL	950	177000	488	22917	51686
2	AVL	960	159446	488	23405	52661
2	AVL	970	184558	488	23405	52661
2	AVL	980	176513	732	23649	53636
2	AVL	990	160665	488	23649	53880
2	AVL	1000	179926	488	24136	56562
2	AVL	1010	190897	487	29744	57050
2	AVL	1020	186752	488	24624	56318
2	AVL	1030	185533	488	24867	59731
2	AVL	1040	196505	731	27306	60463
2	AVL	1050	196260	731	27549	60219
2	AVL	1060	190410	488	26087	60219
2	AVL	1070	190409	731	29012	58756
2	AVL	1080	179682	488	26330	59487
2	AVL	1090	197480	488	27306	60219
2	AVL	1100	196992	731	27062	61194
2	AVL	1110	198455	488	27062	63632
2	AVL	1120	200406	488	27549	66070
2	AVL	1130	204550	731	27306	62901
2	AVL	1140	238195	488	27549	63389
2	AVL	1150	204550	488	30476	64120
2	AVL	1160	208939	488	28038	68752
2	AVL	1170	216253	488	28769	67289
2	AVL	1180	215277	732	28768	65826
2	AVL	1190	215765	731	28768	72897
2	AVL	1200	215765	488	28769	67046
2	AVL	1210	215033	488	29012	67289
2	AVL	1220	214546	487	29012	67533
